"province_id.id","district_id.id","municipality_code","municipality_name"
2,19,"07","Saptakoshi Municipality"
2,19,"08","Surunga Municipality"
2,19,"09","Rajbiraj Municipality"
2,19,"10","Agnisair Krishnasavaran Rural Municipality"
2,19,"11","Balan-Bihul Rural Municipality"
2,19,"12","Rajgadh Rural Municipality"
2,19,"13","Bishnupur Rural Municipality"
2,19,"14","Chhinnamasta Rural Municipality"
2,19,"15","Mahadeva Rural Municipality"
2,19,"16","Rupani Rural Municipality"
2,19,"17","Tilathi Koiladi Rural Municipality"
2,19,"18","Tirhut Rural Municipality"
2,20,"01","Lahan Municipality"
2,20,"02","Dhangadhimai Municipality"
2,20,"03","Siraha Municipality"
2,20,"04","Golbazar Municipality"
2,20,"05","Mirchaiya Municipality"
2,20,"06","Kalyanpur Municipality"
2,20,"07","Karjanha Municipality"
2,20,"08","Sukhipur Municipality"
2,20,"09","Bhagwanpur Rural Municipality"
2,20,"10","Aurahi Rural Municipality"
2,20,"11","Bishnupur Rural Municipality"
2,20,"12","Bariyarpatti Rural Municipality"
2,20,"13","Lakshmipur Patari Rural Municipality"
2,20,"14","Naraha Rural Municipality"
2,20,"15","Sakhuwanankarkatti Rural Municipality"
2,20,"16","Arnama Rural Municipality"
2,20,"17","Nawarajpur Rural Municipality"
2,21,"01","Aurahi Municipality"
2,21,"02","Balawa Municipality"
2,21,"03","Bardibas Municipality"
2,21,"04","Bhangaha Municipality"
2,21,"05","Gaushala Municipality"
2,21,"06","Jaleshwor Municipality"
2,21,"07","Loharpatti Municipality"
2,21,"08","Manara Shiswa Municipality"
2,21,"09","Matihani Municipality"
2,21,"10","Ramgopalpur Municipality"
2,21,"11","Ekdara Rural Municipality"
2,21,"12","Mahottari Rural Municipality"
2,21,"13","Pipara Rural Municipality"
2,21,"14","Samsi Rural Municipality"
2,21,"15","Sonama Rural Municipality"
2,22,"01","Birgunj Metropolitan"
2,22,"02","Bahudarmai Municipality"
2,22,"03","Parsagadhi Municipality"
2,22,"04","Pokhariya Municipality"
2,22,"05","Bindabasini Rural Municipality"
2,22,"06","Dhobini Rural Municipality"
2,22,"07","Chhipaharmai Rural Municipality"
2,22,"08","Jagarnathpur Rural Municipality"
2,22,"09","Jirabhawani Rural Municipality"
2,22,"10","Kalikamai Rural Municipality"
2,22,"11","Pakaha Mainpur Rural Municipality"
2,22,"12","Paterwa Sugauli Rural Municipality"
2,22,"13","Sakhuwa Prasauni Rural Municipality"
2,22,"14","Thori Rural Municipality"
3,23,"01","Kamalamai Municipality"
3,23,"02","Dudhauli Municipality"
3,23,"03","Sunkoshi Rural Municipality"
3,23,"04","Hariharpur Gadhi Rural Municipality"
3,23,"05","Tinpatan Rural Municipality"
3,23,"06","Marin Rural Municipality"
3,23,"07","Golanjor Rural Municipality"
3,23,"08","Phikkal Rural Municipality"
3,23,"09","Ghyanglekh Rural Municipality"
3,24,"01","Manthali Municipality"
3,24,"02","Ramechhap Municipality"
3,24,"03","Umakunda Rural Municipality"
3,24,"04","Khandadevi Rural Municipality"
3,24,"05","Doramba Rural Municipality"
3,24,"06","Gokulganga Rural Municipality"
3,24,"07","Likhutamakoshi Rural Municipality"
3,24,"08","Sunapati Rural Municipality"
3,25,"01","Bhimeswor Municipality"
3,25,"02","Jiri Municipality"
3,25,"03","Kalinchok Rural Municipality"
3,25,"04","Melung Rural Municipality"
3,25,"05","Bigu Rural Municipality"
3,25,"06","Gaurishankar Rural Municipality"
3,25,"07","Baiteshwor Rural Municipality"
3,25,"08","Sailung Rural Municipality"
3,25,"09","Tamakoshi Rural Municipality"
3,26,"01","Bhaktapur Municipality"
3,26,"02","Changunarayan Municipality"
3,26,"03","Madhyapur Thimi Municipality"
3,26,"04","Suryabinayak Municipality"
3,27,"01","Dhunibeshi Municipality"
3,27,"02","Nilkantha Municipality"
3,27,"03","Khaniyabas Rural Municipality"
3,27,"04","Gajuri Rural Municipality"
3,27,"05","Galchhi Rural Municipality"
3,27,"06","Gangajamuna Rural Municipality"
3,27,"07","Jwalamukhi Rural Municipality"
3,27,"08","Thakre Rural Municipality"
3,27,"09","Netrawati Dabjong Rural Municipality"
3,27,"10","Benighat Rorang Rural Municipality"
3,27,"11","Rubi Valley Rural Municipality"
3,27,"12","Siddhalek Rural Municipality"
3,27,"13","Tripurasundari Rural Municipality"
3,28,"01","Kathmandu Metropolitan City"
3,28,"02","Budhanilkantha Municipality"
3,28,"03","Tarakeshwar Municipality"
3,28,"04","Gokarneshwar Municipality"
3,28,"05","Chandragiri Municipality"
3,28,"06","Tokha Municipality"
3,28,"07","Kageshwari-Manohara Municipality"
3,28,"08","Nagarjun Municipality"
3,28,"09","Kirtipur Municipality"
3,28,"10","Dakshinkali Municipality"
3,28,"11","Shankharapur Municipality"
3,29,"01","Dhulikhel Municipality"
3,29,"02","Banepa Municipality"
3,29,"03","Panauti Municipality"
3,29,"04","Panchkhal Municipality"
3,29,"05","Namobuddha Municipality"
3,29,"06","Mandandeupur Municipality"
3,29,"07","Khani Khola Rural Municipality"
3,29,"08","Chauri Deurali Rural Municipality"
